"N"	"gene"	"beta"	"pval"	"varexp"
"gene100001"	1	"0610005C13Rik"	NA	NA	NA
"gene100002"	2	"0610006L08Rik"	NA	NA	NA
"gene100003"	3	"0610009B22Rik"	NA	NA	NA
"gene100004"	4	"0610009E02Rik"	NA	NA	NA
"gene100005"	5	"0610009L18Rik"	-0.646632874728458	1	0
"gene100006"	6	"0610010F05Rik"	NA	NA	NA
"gene100007"	7	"0610010K14Rik"	NA	NA	NA
"gene100008"	8	"0610012D04Rik"	NA	NA	NA
"gene100009"	9	"0610012G03Rik"	NA	NA	NA
"gene100010"	10	"0610025J13Rik"	NA	NA	NA
"gene100011"	11	"0610030E20Rik"	NA	NA	NA
"gene100012"	12	"0610031O16Rik"	NA	NA	NA
"gene100013"	13	"0610033M10Rik"	-0.0130340333091962	1	0
"gene100014"	14	"0610038B21Rik"	NA	NA	NA
"gene100015"	15	"0610039K10Rik"	NA	NA	NA
"gene100016"	16	"0610040B10Rik"	NA	NA	NA
"gene100017"	17	"0610040F04Rik"	NA	NA	NA
"gene100018"	18	"0610040J01Rik"	NA	NA	NA
"gene100019"	19	"0610043K17Rik"	NA	NA	NA
"gene100020"	20	"0710001A04Rik"	NA	NA	NA
"gene100021"	21	"1010001B22Rik"	-0.048515568428675	1	0
"gene100022"	22	"1100001I12Rik"	NA	NA	NA
"gene100023"	23	"1110002E22Rik"	NA	NA	NA
"gene100024"	24	"1110002J07Rik"	NA	NA	NA
"gene100025"	25	"1110002L01Rik"	NA	NA	NA
"gene100026"	26	"1110002O04Rik"	NA	NA	NA
"gene100027"	27	"1110003F10Rik"	NA	NA	NA
"gene100028"	28	"1110004F10Rik"	NA	NA	NA
"gene100029"	29	"1110006O24Rik"	-1.85756750905829	0.276444869862082	0.170663737474618
"gene100030"	30	"1110008E08Rik"	NA	NA	NA
"gene100031"	31	"1110008P14Rik"	NA	NA	NA
"gene100032"	32	"1110012L19Rik"	NA	NA	NA
"gene100033"	33	"1110013H19Rik"	NA	NA	NA
"gene100034"	34	"1110015O18Rik"	NA	NA	NA
"gene100035"	35	"1110017D15Rik"	NA	NA	NA
"gene100036"	36	"1110018N20Rik"	NA	NA	NA
"gene100037"	37	"1110019B22Rik"	0.00579290369297612	1	0
"gene100038"	38	"1110019D14Rik"	NA	NA	NA
"gene100039"	39	"1110020A21Rik"	NA	NA	NA
"gene100041"	40	"1110025M09Rik"	NA	NA	NA
"gene100042"	41	"1110028F11Rik"	NA	NA	NA
"gene100043"	42	"1110028F18Rik"	NA	NA	NA
"gene100044"	43	"1110032A03Rik"	NA	NA	NA
"gene100045"	44	"1110032F04Rik"	NA	NA	NA
"gene100046"	45	"1110035H17Rik"	-0.194077836204874	0.70537089355228	0.0489615787139061
"gene100047"	46	"1110038B12Rik"	NA	NA	NA
"gene100048"	47	"1110038F14Rik"	NA	NA	NA
"gene100049"	48	"1110046J04Rik"	NA	NA	NA
"gene100050"	49	"1110051M20Rik"	NA	NA	NA
"gene100051"	50	"1110057P08Rik"	NA	NA	NA
