"pseudo_name"	"PeakID"	"gene"	"beta"	"pval"	"varexp"
"526"	"gene100527"	"ImmGenATAC1219.peak_100470"	"Prkar2b"	0.215825558923742	0.0382758318680911	0.678764133281315
"543"	"gene100544"	"ImmGenATAC1219.peak_100486"	"Prkar2b"	0.312900829284915	0.0040511516770245	0.799351309295997
"544"	"gene100545"	"ImmGenATAC1219.peak_100487"	"Prkar2b"	0.404750732030049	0.00328903056577994	0.820299917159521
"545"	"gene100546"	"ImmGenATAC1219.peak_100488"	"Prkar2b"	0.836843640324755	0.00447892405823829	0.820304761775956
"667"	"gene100668"	"ImmGenATAC1219.peak_100598"	"Pik3cg"	0.214148001710312	0.00360458585752745	0.790249695279373
"698"	"gene100699"	"ImmGenATAC1219.peak_100625"	"Ccdc71l"	0.521794756115932	0.018345678909255	0.712343582950443
"728"	"gene100729"	"ImmGenATAC1219.peak_100652"	"Ccdc71l"	0.225980769772193	0.00632290354201455	0.804376664041118
"742"	"gene100743"	"ImmGenATAC1219.peak_100665"	"Nampt"	0.343025609790333	0.0174442746027672	0.686450485285821
"810"	"gene100811"	"ImmGenATAC1219.peak_100726"	"Nampt"	0.741466992687341	0.0146184316966667	0.731163277359644
"858"	"gene100859"	"ImmGenATAC1219.peak_10077"	"Klf7"	0.370695531108039	0.00780402097589912	0.809651422980818
"870"	"gene100871"	"ImmGenATAC1219.peak_100780"	"Sypl"	0.269991136077772	0.0090250294787054	0.775420009432245
"899"	"gene100900"	"ImmGenATAC1219.peak_100806"	"Sypl"	0.417550562826841	0.0493652559599158	0.665276182293499
"964"	"gene100965"	"ImmGenATAC1219.peak_100865"	"Cdhr3"	0.666035592255927	0.0210484905920898	0.759290284010334
"1168"	"gene101169"	"ImmGenATAC1219.peak_101048"	"Efcab10"	0.265944186744146	8.06690581268185e-06	0.941570269936158
"1175"	"gene101176"	"ImmGenATAC1219.peak_101054"	"Twistnb"	-0.383528142261393	0.00892934141214448	0.779068001540332
"1549"	"gene101550"	"ImmGenATAC1219.peak_101391"	"Prps1l1"	-0.241230981208982	0.00177294590572133	0.837421017647794
"1585"	"gene101586"	"ImmGenATAC1219.peak_101423"	"Snx13"	0.200251428344338	0.0245014039900596	0.696664226033288
"1760"	"gene101761"	"ImmGenATAC1219.peak_101581"	"Ahr"	0.26711234021928	0.000623105114040502	0.873011286377738
"1761"	"gene101762"	"ImmGenATAC1219.peak_101582"	"Ahr"	0.34243185766001	0.00476953940314482	0.813030457570287
"1785"	"gene101786"	"ImmGenATAC1219.peak_101603"	"Ahr"	0.278034798703385	3.39462673964129e-07	0.956441535782776
"1830"	"gene101831"	"ImmGenATAC1219.peak_101644"	"9130015A21Rik"	0.309995379288946	0.0286716221016136	0.613685742975014
"1915"	"gene101916"	"ImmGenATAC1219.peak_101720"	"Agr3"	0.414017865768858	0.00102681894709022	0.882057346675021
"1941"	"gene101942"	"ImmGenATAC1219.peak_101744"	"Tspan13"	0.809335047722935	0.00759595580682355	0.724161829976887
"1945"	"gene101946"	"ImmGenATAC1219.peak_101748"	"Tspan13"	0.455688699723689	0.0142414153330352	0.756014973435882
"1963"	"gene101964"	"ImmGenATAC1219.peak_101764"	"Tspan13"	0.459879303330271	0.0212646074582147	0.709179844973478
"1973"	"gene101974"	"ImmGenATAC1219.peak_101773"	"Tspan13"	0.347452009645172	0.038772981003493	0.623866788323788
"2371"	"gene102372"	"ImmGenATAC1219.peak_102130"	"Etv1"	-0.263622411146543	0.0347425617506323	0.705192747676041
"2420"	"gene102421"	"ImmGenATAC1219.peak_102175"	"Etv1"	-0.725014183367623	0.0222116029380957	0.736611140901966
"2554"	"gene102555"	"ImmGenATAC1219.peak_102296"	"Arl4a"	1.4764061945813	0.00355489823772612	0.830461768666145
"2555"	"gene102556"	"ImmGenATAC1219.peak_102297"	"Arl4a"	0.577582687830908	0.00260504959894519	0.828848563712061
"2623"	"gene102624"	"ImmGenATAC1219.peak_102358"	"Lsmem1"	0.362465156358648	0.0250325821525931	0.713170907730271
"2760"	"gene102761"	"ImmGenATAC1219.peak_102481"	"Dock4"	1.29825873733151	0.00772943134128006	0.772739957050597
"2763"	"gene102764"	"ImmGenATAC1219.peak_102484"	"Dock4"	0.311468549926475	0.0119412302205043	0.755506229752522
"2782"	"gene102783"	"ImmGenATAC1219.peak_102500"	"Dock4"	0.247429968929941	0.0167361819300282	0.699733141126314
"2795"	"gene102796"	"ImmGenATAC1219.peak_102512"	"Dock4"	0.560984550802628	1.14154817600363e-06	0.958308298665134
"2904"	"gene102905"	"ImmGenATAC1219.peak_102610"	"Immp2l"	0.415810500433627	0.0402370872819983	0.660072814591208
"2980"	"gene102981"	"ImmGenATAC1219.peak_10268"	"2810408I11Rik"	0.468706351006593	0.0108675770379047	0.782217114206913
"3006"	"gene103007"	"ImmGenATAC1219.peak_102702"	"Lrrn3"	0.261208227541454	2.89516623805373e-05	0.930946382027238
"3007"	"gene103008"	"ImmGenATAC1219.peak_102703"	"Lrrn3"	0.383708398300012	1.20663356942859e-05	0.961482297235139
"3092"	"gene103093"	"ImmGenATAC1219.peak_102780"	"Lrrn3"	0.639134374898174	0.0403990882164913	0.66493355036824
"3094"	"gene103095"	"ImmGenATAC1219.peak_102782"	"Lrrn3"	0.377227161413333	0.00721066064599039	0.801190340208096
"3122"	"gene103123"	"ImmGenATAC1219.peak_102807"	"Lrrn3"	0.830740435018954	0.0205806115182044	0.745254596482197
"3145"	"gene103146"	"ImmGenATAC1219.peak_102828"	"Lrrn3"	0.824927221574842	0.011481629196506	0.750474664303928
