"gene"	"beta"	"sd"	"pval"	"pval_anova"	"cov"	"varexp"	"singular"	"beta_norm"
"gene100001"	"0610005C13Rik"	-0.0237106139997485	0.0302637988420646	0.518053319529447	0.518053319529447	0.000915897520352951	0.124769315714845	FALSE	0.010893707763274
"gene100003"	"0610009B22Rik"	0.107466094075442	0.285384352003169	0.740757417480263	0.740757417480263	0.0814442283682688	0.311191587848993	FALSE	0.0113813715068876
"gene100004"	"0610009E02Rik"	-0.0135576939879256	0.0260867357145853	0.608966265653725	0.608966265653725	0.00068051778024262	0	TRUE	0.0109314523526467
"gene100005"	"0610009L18Rik"	-0.0258624735426121	0.125932548261867	0.853331617511457	0.853331617511457	0.0158590067117275	0.169629230305542	FALSE	0.0108857079903282
"gene100006"	"0610010F05Rik"	2.84567776267736	0.788728334210662	0.0351110753155131	0.0351110753155131	0.622092385186726	0.382218653958837	FALSE	0.0215609725405641
"gene100007"	"0610010K14Rik"	-0.030008819345462	0.133013185462881	0.823795849105564	0.823795849105564	0.0176925075069827	0	TRUE	0.0108702934968088
"gene100008"	"0610012D04Rik"	0.325592286855423	0.109318983441132	0.0504580366430696	0.0504580366430696	0.0119506401406024	0.458358901025484	FALSE	0.0121922794593137
"gene100009"	"0610012G03Rik"	0.484761615696053	1.02808537048521	0.676045788897942	0.676045788897942	1.05695952900572	0.164024350034674	FALSE	0.0127840088288775
"gene100011"	"0610030E20Rik"	0.885116670711508	2.27041247491844	0.720636301793759	0.720636301793759	5.15477280626527	0.344928416025224	FALSE	0.0142723724855682
"gene100012"	"0610031O16Rik"	-0.0410110387816749	0.0399470687136023	0.388238252736843	0.388238252736843	0.00159576829880926	0.182290817717767	FALSE	0.0108293915440378
"gene100014"	"0610038B21Rik"	0.0331503650252078	0.177978087366918	0.860855537033464	0.860855537033464	0.0316761995827864	0.747130112698815	FALSE	0.0111050946649862
"gene100015"	"0610039K10Rik"	0.0377289907005387	0.0207978011551716	0.227871571452789	0.227871571452789	0.000432548532890057	0.16450935995838	FALSE	0.0111221162061592
"gene100016"	"0610040B10Rik"	0.021620500580779	0.105897422782912	0.853124501202191	0.853124501202191	0.0112142641520628	0.0401459926038197	FALSE	0.0110622311342508
"gene100018"	"0610040J01Rik"	-0.0170741680864486	0.0625810777866882	0.804132042592693	0.804132042592693	0.00391639129694352	0.248621506706603	FALSE	0.0109183794760028
"gene100019"	"0610043K17Rik"	-0.0314892267127423	0.0629134248186585	0.654619486435609	0.654619486435609	0.003958099022413	0.193581732021232	FALSE	0.0108647899206828
"gene100021"	"1010001B22Rik"	-0.00802705157348206	0.0234617675572069	0.774922810061981	0.774922810061981	0.000550454536908407	0.0378142016671925	FALSE	0.0109520131200576
"gene100022"	"1100001I12Rik"	0.014566627386739	0.0172671782744118	0.408868771049845	0.408868771049845	0.000298155445560319	0	TRUE	0.0110360075900013
"gene100023"	"1110002E22Rik"	-0.00851942448714428	0.0267535568092941	0.753452023220545	0.753452023220545	0.000715752801948125	0	TRUE	0.0109501826699576
"gene100024"	"1110002J07Rik"	-0.0174054116949109	0.0168284643350768	0.404233850225446	0.404233850225446	0.000283197211876953	0.0690209118261135	FALSE	0.0109171480416994
"gene100025"	"1110002L01Rik"	0.0116889145858026	0.230481121782398	0.964370414728013	0.964370414728013	0.0531215474980725	0.269627922036286	FALSE	0.0110253093782671
"gene100027"	"1110003F10Rik"	-0.00725293545523064	0.0479841562950228	0.881369452604477	0.881369452604477	0.00230247925534517	1.20730930974727e-22	TRUE	0.0109548909813011
"gene100028"	"1110004F10Rik"	-0.537047081913753	1.80161470637411	0.79623092486466	0.79623092486466	3.24581555022348	0.0735931367671676	FALSE	0.00898532336066493
"gene100029"	"1110006O24Rik"	0.0138597966997659	0.158351229014573	0.935560680969634	0.935560680969634	0.0250751117304258	0.448106625229496	FALSE	0.0110333798696995
"gene100031"	"1110008P14Rik"	0.709073875018344	0.88518824597196	0.472742635212586	0.472742635212586	0.783558230806915	0.528671312757322	FALSE	0.0136179141595165
"gene100032"	"1110012L19Rik"	0.585337490789748	0.301561739954598	0.198611005250825	0.198611005250825	0.0909394830044445	0.025056751105933	FALSE	0.0131579106326742
"gene100033"	"1110013H19Rik"	-0.0428284622308599	0.0407335613957341	0.305600273420175	0.305600273420175	0.00165922302398004	0	TRUE	0.0108226350738079
"gene100038"	"1110019D14Rik"	0.0472382234626837	0.0750857393929484	0.536388527027099	0.536388527027099	0.00563786826018577	0	TRUE	0.0111574678178572
"gene100039"	"1110020A21Rik"	-0.0600145038685781	0.0648917628206096	0.447155110620609	0.447155110620609	0.00421094088196625	0.0462225975480432	FALSE	0.0107587440864068
"gene100041"	"1110025M09Rik"	0.0204841523192875	0.0200416273316249	0.318947655017602	0.318947655017602	0.000401666826099734	0	TRUE	0.0110580066354404
"gene100042"	"1110028F11Rik"	0.136914767894007	0.0376115360530445	0.035516676002643	0.035516676002643	0.00141462764426947	0.300260410556744	FALSE	0.0114908501691406
"gene100044"	"1110032A03Rik"	0.151338395785598	0.203886327338331	0.466553471038635	0.466553471038635	0.0415696344755132	0	TRUE	0.0115444715816406
"gene100045"	"1110032F04Rik"	-0.37167811073764	0.257633753967156	0.22424329648127	0.22424329648127	0.066375151183209	0.523354465500967	FALSE	0.00960010057793603
"gene100046"	"1110035H17Rik"	0.0239309941031008	0.0299290388321852	0.489116962472185	0.489116962472185	0.000895747365418448	0.0590266626400324	FALSE	0.011070820646347
"gene100047"	"1110038B12Rik"	-1.04932891379038	0.549790804095987	0.200080050634847	0.200080050634847	0.302269928268512	0.149072988315876	FALSE	0.00708085968274652
"gene100048"	"1110038F14Rik"	-0.387546938352987	1.43092939213662	0.801550262359317	0.801550262359317	2.04755892528048	0.509012719237386	FALSE	0.00954110647757167
"gene100049"	"1110046J04Rik"	-0.0322619379210689	0.0349618104351599	0.436568292826004	0.436568292826004	0.00122232818890406	0.0698322095403519	FALSE	0.0108619172823459
"gene100050"	"1110051M20Rik"	-0.587145121564333	0.243650912316831	0.0257135840180493	0.0257135840180493	0.059365767072824	0	TRUE	0.00879907842494321
"gene100052"	"1110059E24Rik"	0.802532787031716	0.751285584065708	0.372008712006499	0.372008712006499	0.564430028824952	0.165331958841268	FALSE	0.0139653578755179
"gene100053"	"1110059G10Rik"	0.555144280860788	0.387463752884534	0.167371797443395	0.167371797443395	0.150128159799367	0	TRUE	0.0130456640760888
"gene100055"	"1110065P20Rik"	0.0499543977771678	0.0884498187819419	0.612464273156982	0.612464273156982	0.00782337044255837	0.0858366032297416	FALSE	0.0111675654926189
"gene100058"	"1190007I07Rik"	-0.162656619290659	0.230129084301615	0.542149750365949	0.542149750365949	0.0529593954414997	0.0597626244701128	FALSE	0.010377160808448
"gene100060"	"1200007C13Rik"	0.0394783348563328	0.0173381270865704	0.0339261037942193	0.0339261037942193	0.000300610650870068	0	TRUE	0.011128619584178
"gene100061"	"1300002E11Rik"	-0.0518260127542791	0.678837300335831	0.94611210801296	0.94611210801296	0.46082008032724	0.0877063681140595	FALSE	0.0107891856967348
"gene100062"	"1300014J16Rik"	0.197994881421884	0.311487750755601	0.577970522220515	0.577970522220515	0.0970246188707837	0.345502161832032	FALSE	0.0117179221643169
"gene100063"	"1300017J02Rik"	0.012358219195151	0.0645246561033391	0.861030008791345	0.861030008791345	0.00416343124525418	0.451042389977309	FALSE	0.0110277975912751
"gene100064"	"1500002C15Rik"	0.149559401396594	0.184615160186999	0.480280132129978	0.480280132129978	0.0340827573708714	0.133789815091834	FALSE	0.01153785797564
"gene100066"	"1500004A13Rik"	-0.00298506103960961	0.118103787083586	0.980086184489057	0.980086184489057	0.0139485045234851	0	TRUE	0.0109707572707158
"gene100069"	"1500009L16Rik"	0.0417423860812518	0.273597051538317	0.888552493101889	0.888552493101889	0.0748553466104607	0.500402874895518	FALSE	0.0111370364419594
"gene100070"	"1500011B03Rik"	-0.961769821654028	1.84285735079578	0.629111045586487	0.629111045586487	3.39612321538205	0.677173056076775	FALSE	0.0074063701737872
"gene100072"	"1500015A07Rik"	-0.537853175445691	0.384266601635911	0.260085812839874	0.260085812839874	0.147660821132812	0.0266921185015811	FALSE	0.00898232661989296
"gene100074"	"1500026H17Rik"	-0.0412899574114871	0.0507018129814253	0.549361826115249	0.549361826115249	0.00257067383960342	0.0570942315104228	FALSE	0.010828354633559
"gene100076"	"1500035N22Rik"	-0.074946487397378	0.0643841299987612	0.341575625408201	0.341575625408201	0.00414531619569738	0.350492897138393	FALSE	0.0107032328062866
"gene100077"	"1520401A03Rik"	-0.00804620596497513	0.0207380582917606	0.726203145353588	0.726203145353588	0.00043006706171246	0.177858970434732	FALSE	0.0109519419115141
