"","gene","beta","sd","pval","pval_anova","cov","varexp","singular","beta_norm"
"0610010F05Rik","0610010F05Rik",2.84567776267761,0.788728334211466,0.0351110753271182,0.0351110753271182,0.622092385187994,0.382218653959621,FALSE,0.0215609725383072
"1110028F11Rik","1110028F11Rik",0.136914767894035,0.0376115360527495,0.0355166759976704,0.0355166759976704,0.00141462764424728,0.300260410550873,FALSE,0.011490850166894
"1110051M20Rik","1110051M20Rik",-0.587145121564333,0.243650912316831,0.0257135840179688,0.0257135840179688,0.059365767072824,0,TRUE,0.00879907842269967
"1200007C13Rik","1200007C13Rik",0.0394783348563328,0.0173381270865704,0.0339261037942532,0.0339261037942532,0.000300610650870068,0,TRUE,0.0111286195819318
"1600012H06Rik","1600012H06Rik",3.14883518526342,0.979270061842156,0.00433994646649462,0.00433994646649462,0.958969854020341,0,TRUE,0.0226879933773843
"1700001C19Rik","1700001C19Rik",0.0632879205530449,0.0255586779466248,0.0223395494282561,0.0223395494282561,0.000653246018379286,0,TRUE,0.011217134318009
"1700001L05Rik","1700001L05Rik",0.298591814602562,0.0657517785243628,0.000198757651109633,0.000198757651109633,0.00432329637911686,0,TRUE,0.0120919022516053
"1700010K24Rik","1700010K24Rik",0.0328110690877329,0.0156688584106726,0.0492012199281611,0.0492012199281611,0.000245513123893706,0,TRUE,0.0111038332930238
"1700012I11Rik","1700012I11Rik",0.0413628944008983,0.0111835679925153,0.0406051303707956,0.0406051303707956,0.000125072193043214,0.0700112584588154,FALSE,0.0111356256379311
"1700018A23Rik","1700018A23Rik",-0.0509794660635412,0.0217565851467282,0.0295693522956238,0.0295693522956238,0.000473348997246835,0,TRUE,0.0107923328242991
"1700018L02Rik","1700018L02Rik",0.512540924182268,0.111967297975909,0.00018261669592372,0.00018261669592372,0.0125366758160261,0,TRUE,0.0128872814408778
"1700019C18Rik","1700019C18Rik",-0.219699595506975,0.0983256249948386,0.0370306344750092,0.0370306344750092,0.00966792853062562,0,TRUE,0.0101650973100482
"1700020L24Rik","1700020L24Rik",0.471518746896686,0.072119517211723,0.00892777455642931,0.00892777455642931,0.00520122476285202,0.210688791764019,FALSE,0.0127347770150554
"1700023H06Rik","1700023H06Rik",0.147467558825087,0.0403210374640094,0.00156518459001461,0.00156518459001461,0.00162578606217405,0,TRUE,0.0115300813200956
"1700025G04Rik","1700025G04Rik",5.15396938957269,0.949481267075958,0.00732114813412597,0.00732114813412597,0.901514676528167,0.542943896417472,FALSE,0.0301422988472186
"1700025N21Rik","1700025N21Rik",0.148004978091559,0.0317953329321106,0.000152574919503335,0.000152574919503335,0.00101094319626376,0,TRUE,0.0115320792349332
"1700034J05Rik","1700034J05Rik",0.0697474798345648,0.0321765648543608,0.042427720741066,0.042427720741066,0.00103533132582689,0,TRUE,0.0112411484353592
