innateness_score	category	cell	cell_type	Tissue
757794829.8319614	cell_types	ILC2.SI.1	ILC2.SI	SIntestine
265624671.4770661	cell_types	ILC2.SI.2	ILC2.SI	SIntestine
540566113.5201006	cell_types	ILC2.ST2..SI.1	ILC2.SI	SIntestine
297815530.47477484	cell_types	ILC2.ST2..SI.2	ILC2.SI	SIntestine
506056797.7952347	cell_types	ILC3.CCR6..SI.1	ILC3.SI	SIntestine
126206789.78267771	cell_types	ILC3.CCR6..SI.2	ILC3.SI	SIntestine
570554116.1607213	cell_types	ILC3.NKp46..SI.1	ILC3.SI	SIntestine
275954469.3302336	cell_types	ILC3.NKp46..SI.2	ILC3.SI	SIntestine
360308292.4164711	cell_types	ILC3.NKp46.CCR6..SI.2	ILC3.SI	SIntestine
28548587.034588926	cell_types	NK.27.11b..Sp.1	NK.Sp	Spleen
12760200.381283036	cell_types	NK.27.11b..Sp.2	NK.Sp	Spleen
25222546.205640033	cell_types	NK.27.11b..Sp.1.1	NK.Sp	Spleen
37414423.350643046	cell_types	NK.27.11b..Sp.2.1	NK.Sp	Spleen
85311452.61917648	cell_types	NK.27.11b..Sp.2.2	NK.Sp	Spleen
760602067.2495234	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Lu.1	NKT.Lu	Lung
1305641031.6044645	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Lu.2	NKT.Lu	Lung
831109806.0004249	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Sp.1	NKT.Sp	Spleen
489273710.1952694	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Sp.2	NKT.Sp	Spleen
411883734.183587	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Sp.3	NKT.Sp	Spleen
499208490.413573	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Lv.1	NKT.Lv	Liver
643433276.8699939	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Lv.2	NKT.Lv	Liver
972695280.50951	cell_types	NKT.19.8.TCRb.CD1daGalCerTet..Lv.3	NKT.Lv	Liver
22319918.929563455	cell_types	T.4.Nve.Fem.Sp.1	CD4.Sp	Spleen
64014214.22761945	cell_types	T.4.Nve.Fem.Sp.2	CD4.Sp	Spleen
12177885.998044169	cell_types	T.4.Nve.Sp.1	CD4.Sp	Spleen
6799620.97121623	cell_types	T.4.Nve.Sp.2	CD4.Sp	Spleen
24129177.136303984	cell_types	T.8.Nve.Sp.1	CD8.Sp	Spleen
9227675.029703021	cell_types	T.8.Nve.Sp.2	CD8.Sp	Spleen
26237399.02287783	cell_types	Tgd.Sp.3	Tgd.Sp	Spleen
14920959.845782328	cell_types	Tgd.Sp.4	Tgd.Sp	Spleen
