innateness_score	category	cell_type
-36375.34907184792	cell_types	ILC2.SI#1
-14100.177574054933	cell_types	ILC2.SI#2
-16069.868576029341	cell_types	ILC2.ST2-.SI#2
-45061.27109791622	cell_types	ILC2.ST2-.SI#1
-28055.905099195064	cell_types	ILC3.CCR6+.SI#1
1000.3620809314789	cell_types	ILC3.CCR6+.SI#2
-473.7820055793527	cell_types	ILC3.NKp46+.SI#1
10217.406763770317	cell_types	ILC3.NKp46+.SI#2
-3231.5509708702266	cell_types	ILC3.NKp46-CCR6-.SI#2
257535.1132848452	cell_types	NK.27+11b-.Sp#1
109815.72753155144	cell_types	NK.27+11b-.Sp#2
249254.69284459396	cell_types	NK.27+11b+.Sp#1
229054.1562579727	cell_types	NK.27+11b+.Sp#2
264221.96808500506	cell_types	NK.27-11b+.Sp#2
20833.450771438802	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Lu#1
19838.428585060767	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Lu#2
3755.8336936125124	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Sp#1
5592.68455643328	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Sp#2
3373.172038167013	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Sp#3
28283.463254176953	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Lv#1
32993.95343520717	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Lv#2
33539.73303899909	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Lv#3
-75874.67429454956	cell_types	T.4.Nve.Fem.Sp#1
-32828.63469510041	cell_types	T.4.Nve.Fem.Sp#2
-70797.22934391494	cell_types	T.4.Nve.Sp#1
-31040.147934652374	cell_types	T.4.Nve.Sp#2
-37515.82606276651	cell_types	T.4.19-8-TCRb+CD4+.Sp#1
-32395.658634988205	cell_types	T.4.19-8-TCRb+CD4+.Sp#2
-70255.10904239447	cell_types	T.8.Nve.Sp#1
-29604.594029617903	cell_types	T.8.Nve.Sp#2
49489.08794946389	cell_types	T8.MP.LCMV.d7.Sp#1
58271.74193103689	cell_types	T8.MP.LCMV.d7.Sp#2
12936.595207747763	cell_types	T8.Tcm.LCMV.d180.Sp#1
16704.487936107384	cell_types	T8.Tcm.LCMV.d180.Sp#2
-38770.687050286186	cell_types	T8.TN.P14.Sp#1
-18516.50254485888	cell_types	T8.TN.P14.Sp#2
171804.3978614718	cell_types	T8.TE.LCMV.d7.Sp#1
124742.11507420635	cell_types	T8.TE.LCMV.d7.Sp#2
35966.46739456764	cell_types	T8.Tem.LCMV.d180.Sp#2
-8520.149034945836	cell_types	Tgd.Sp#3
-1193.3090509547437	cell_types	Tgd.Sp#4
-7081.890557803896	cell_types	MAIT.Sp#1
-7491.79810969664	cell_types	MAIT.Sp#2
-8452.863710494767	cell_types	MAIT.Lu#1
-6650.748164300578	cell_types	MAIT.Lu#2
-7918.045467160053	cell_types	MAIT.Lu#3
-24300.925483249684	cell_types	MAIT.Lv#1
-26071.071083599945	cell_types	MAIT.Lv#2
-11514.979371972659	cell_types	MAIT.Lv#3
-20583.912686526048	cell_types	MAIT.Th#1
-19293.54224299368	cell_types	MAIT.Th#2
-21102.782901309933	cell_types	MAIT.Th#3
-20034.066016658282	cell_types	T.4.Sp#1
-35072.04729643456	cell_types	T.4.Sp#2
-19956.076753167767	cell_types	T.4.Sp#3
17012.28575319107	cell_types	MAIT.SeT.3d.Lu#1
16401.24265292879	cell_types	MAIT.SeT.3d.Lu#2
5725.194557492108	cell_types	MAIT.SeT.3d.Lu#3
