innateness_score	category	cell_type
-2341341.10894871	cell_types	NK.27.11b..Sp.1
-3203162.490353445	cell_types	NK.27.11b..Sp.2
-4540189.07610044	cell_types	NK.27.11b..Sp.1.1
-5291484.776052121	cell_types	NK.27.11b..Sp.2.1
-3158955.396665536	cell_types	NK.27.11b..Sp.1.2
-3443740.0845575663	cell_types	NK.27.11b..Sp.2.2
-1188453.1251997184	cell_types	NKT.Sp.3
-1102915.1626558704	cell_types	NKT.Sp.4
-705266.4914226623	cell_types	T.4.Nve.Fem.Sp.1
-699233.2758408824	cell_types	T.4.Nve.Fem.Sp.2
-1676442.294921364	cell_types	Tgd.Sp.3
-1308718.5263187415	cell_types	Tgd.Sp.5
-1851798.8259390616	cell_types	T.8.Nve.Sp.3
-904350.6000956793	cell_types	T.4.Nve.Sp.1
-725066.3808709595	cell_types	T.4.Nve.Sp.2
-1135284.5177833505	cell_types	T.8.Nve.Sp.1
