innateness_score	category	cell_type
-2175.372825261179	cell_types	ILC2.SI#1
-990.9467753434847	cell_types	ILC2.SI#2
-1810.7390437900954	cell_types	ILC2.ST2-.SI#2
-2909.869524215819	cell_types	ILC2.ST2-.SI#1
-2362.2303344885627	cell_types	ILC3.CCR6+.SI#1
-673.1703752452956	cell_types	ILC3.CCR6+.SI#2
-2644.5534655070314	cell_types	ILC3.NKp46+.SI#1
-1534.2976555809914	cell_types	ILC3.NKp46+.SI#2
-1317.1758346214383	cell_types	ILC3.NKp46-CCR6-.SI#2
-2079.756940867064	cell_types	NK.27+11b-.Sp#1
-956.0185811571445	cell_types	NK.27+11b-.Sp#2
-1505.1334621964402	cell_types	NK.27+11b+.Sp#1
-1555.5273855260368	cell_types	NK.27+11b+.Sp#2
-1596.0730125396735	cell_types	NK.27-11b+.Sp#2
-1784.3845887252764	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Lu#1
-1799.8224123816494	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Lu#2
-2601.3451809802555	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Sp#1
-2611.1320246687883	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Sp#2
-2244.9840399572613	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Sp#3
-2142.145165743271	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Lv#1
-2563.438039972944	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Lv#2
-2624.934440272081	cell_types	NKT.19-8-TCRb+CD1daGalCerTet+.Lv#3
-1492.0825134489537	cell_types	T.4.Nve.Fem.Sp#1
-847.8765609139853	cell_types	T.4.Nve.Fem.Sp#2
-1530.2805102970121	cell_types	T.4.Nve.Sp#1
-592.8664051387941	cell_types	T.4.Nve.Sp#2
-1381.0677165438788	cell_types	T.4.19-8-TCRb+CD4+.Sp#1
-1460.6581001726136	cell_types	T.4.19-8-TCRb+CD4+.Sp#2
-1320.2418101288104	cell_types	T.8.Nve.Sp#1
-751.1166749856266	cell_types	T.8.Nve.Sp#2
-1570.3747345212946	cell_types	T8.MP.LCMV.d7.Sp#1
-1370.3924578955452	cell_types	T8.MP.LCMV.d7.Sp#2
-1847.205676457611	cell_types	T8.Tcm.LCMV.d180.Sp#1
-1166.0950097677242	cell_types	T8.Tcm.LCMV.d180.Sp#2
-649.0011709981366	cell_types	T8.TN.P14.Sp#1
-250.49986771933956	cell_types	T8.TN.P14.Sp#2
-2267.495720162152	cell_types	T8.TE.LCMV.d7.Sp#1
-1355.5271094778357	cell_types	T8.TE.LCMV.d7.Sp#2
-1047.1803801531769	cell_types	T8.Tem.LCMV.d180.Sp#2
-2200.9638433707987	cell_types	Tgd.Sp#3
-966.5385393354507	cell_types	Tgd.Sp#4
-2139.542703606926	cell_types	MAIT.Sp#1
-1698.8551822292338	cell_types	MAIT.Sp#2
-1706.1559602116663	cell_types	MAIT.Lu#1
-1768.525641544168	cell_types	MAIT.Lu#2
-1729.3608565854652	cell_types	MAIT.Lu#3
-1553.503820054272	cell_types	MAIT.Lv#1
-1111.97005555982	cell_types	MAIT.Lv#2
-1049.1729154198422	cell_types	MAIT.Lv#3
-3225.5918536709924	cell_types	MAIT.Th#1
-2757.8404375269824	cell_types	MAIT.Th#2
-2160.047999984082	cell_types	MAIT.Th#3
-1158.6951588738812	cell_types	T.4.Sp#1
-33.7118527055607	cell_types	T.4.Sp#2
-1613.7981047393992	cell_types	T.4.Sp#3
-2900.7277720379816	cell_types	MAIT.SeT.3d.Lu#1
-2551.338753841811	cell_types	MAIT.SeT.3d.Lu#2
-982.5564800692878	cell_types	MAIT.SeT.3d.Lu#3
