© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Natural Killer Cell Signaling	1.02E01	1.94E-01	NaN	CD244,FASLG,FCER1G,FCGR2A,FYN,HLA-A,HSPA2,IFNG,IL12RB2,IL15,IL18R1,IL18RAP,ITGB1,Klra7 (includes others),KLRB1,KLRC1,KLRD1,MAPK3,NCR1,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAC3,RAP2A,RAP2B,SOS2,STAT4,SYK,TYK2,TYROBP	
Immunogenic Cell Death Signaling Pathway	7.44E00	2.32E-01	NaN	ANXA1,ATF4,ATG4D,ATG5,CASP1,CASP9,CGAS,DAPK2,GZMA,Gzmb,GZMK,GZMM,HSPA2,IFNG,IFNGR1,MLKL,NFKB1,PRF1,TLR4	
Th1 Pathway	6.68E00	1.93E-01	NaN	CCR5,HLA-A,IFNG,IFNGR1,IL10RA,IL10RB,IL12RB2,IL18R1,JAK1,KLRC1,KLRD1,NFIL3,NFKB1,NOTCH2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,STAT4,TBX21,TYK2	
Integrin Signaling	6.48E00	1.47E-01	NaN	ARF6,ARPC3,CAPN2,CAPN5,FYN,ILK,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MAPK3,MYL12B,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP1R12A,RAC3,RAP2A,RAP2B,RHOB,RHOQ,SOS2,TLN1,TSPAN5,ZYX	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	6.38E00	1.28E-01	NaN	ADAM17,ATF4,Calm1 (includes others),CASP9,COL19A1,COL8A2,CREB5,CSF2,CTNNA1,FCGR2A,FCGR2B,IFNG,IL18RAP,IL1RAP,IL7,ITGA5,MAPK3,NAIP,Naip1 (includes others),NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,RAC3,RAP2A,RAP2B,RHOB,RHOQ,SOS2,SPP1,SYK,TAB2,TLR4,TYROBP,XIAP	
Pathogen Induced Cytokine Storm Signaling Pathway	6.2E00	1.24E-01	NaN	AIM2,BHLHE40,CASP1,CCL3L3,CCL4,CCL5,Ccl9,CCR5,CGAS,COL19A1,COL8A2,CSF2,EOMES,FASLG,IFNG,IFNGR1,IL12RB2,IL15,IL18R1,IL18RAP,IL1RAP,JAK1,MAPK3,MLKL,Naip1 (includes others),NFKB1,NLRP10,NOD1,PRDM1,PRF1,RYR3,STAT4,STX11,SYK,TBX21,TGFB3,TLR4,TNFSF12,VEGFC	
Protein Kinase A Signaling	5.5E00	1.11E-01	NaN	ATF4,Calm1 (includes others),CAMK2B,CAMK2G,CREB5,CREM,DUSP18,DUSP22,DUSP3,DUSP5,ENPP1,EYA1,GNAS,GNB1,H1-3,H1f4,HHAT,KDELR2,MAPK3,MYL12B,NFKB1,PDE1C,PDE2A,PDE4A,PHKA2,PLCG2,PPP1R12A,PPP3CA,PRKACB,PTPN12,PTPN14,PTPN4,PTPN5,PTPN9,PTPRE,PTPRK,RYR3,SMAD3,TCF4,TGFB3,TNNI1,UBASH3B,YWHAQ	
Osteoarthritis Pathway	5.49E00	1.32E-01	NaN	ADAMTS5,ANXA2,ATF4,CASP1,CASP4,CASP9,CREB5,CTNNA1,FZD5,HES1,IL18RAP,IL1RAP,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MEF2C,MTF1,NFKB1,PPARGC1A,PRKAB1,RUNX2,SDC4,SMAD3,SPP1,TCF4,TLR4,VEGFC	
TREM1 Signaling	5.47E00	2.11E-01	NaN	CASP1,CSF2,FCGR2B,ITGA5,ITGAX,ITGB1,LAT2,MAPK3,Naip1 (includes others),NFKB1,NLRP10,NOD1,PLCG2,TLR4,TYROBP	
PI3K/AKT Signaling	5.26E00	1.36E-01	NaN	GAB2,IL10RA,IL10RB,IL12RB2,IL18R1,IL18RAP,IL20RB,IL3RA,ILK,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,JAK1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,RAP2A,RAP2B,SOS2,SYNJ1,TYK2,YWHAQ	
Phosphatidylcholine Biosynthesis I	5.11E00	7.14E-01	NaN	CHKA,CHKB,CHPT1,PCYT1A,PHKA1	
RAC Signaling	5.06E00	1.54E-01	NaN	ABI2,ARPC3,CYFIP1,IQGAP2,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MAPK3,MCF2L,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLD1,RAC3,RAP2A,RAP2B	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.78E00	1.97E-01	NaN	CAMK2B,CAMK2G,CSF2,FASLG,HLA-A,IFNG,IL15,IL3RA,KLRD1,NFKB1,PRF1,TLN1,TLR4,TYROBP	
