© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
EIF2 Signaling	2.09E01	2.96E-01	-2.646	ACTB,EIF3E,EIF3H,EIF3K,EIF4A2,EIF5,HSPA5,PABPC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP1CA,RAP1B,RPL10,RPL12,RPL13,RPL14,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL26,RPL3,RPL35A,Rpl36a,RPL4,RPL41,RPL6,RPL7,RPL8,RPL9,RPLP0,RPS11,RPS12,RPS14,RPS15,RPS15A,RPS18,RPS19,RPS2,RPS20,RPS24,RPS25,RPS26,RPS27A,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA	
Natural Killer Cell Signaling	2.01E01	3.11E-01	2.263	B2M,CD226,CD244,CD247,CD48,CFL1,FASLG,FCER1G,FCGR2A,FYN,HCST,HLA-A,HLA-E,HSPA5,HSPA8,HSPA9,IL12RB2,IL18R1,IL18RAP,IL2RB,ITGAL,ITGB1,Klra7 (includes others),KLRB1,KLRC1,KLRD1,LAT,LCK,LCP2,MAP2K3,MAP3K1,NCK1,NCR1,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCQ,PTK2B,PTPN6,RAC2,RAP1B,RASSF5,SH2D1A,STAT4,SYK,TYK2,ZAP70	
T Cell Receptor Signaling	1.83E01	2.81E-01	-1.000	B2M,Calm1 (includes others),CAMK4,CBL,CD247,CD28,CD3D,CD3E,CD3G,CD4,FCER1G,FYB1,FYN,GRAP2,HLA-A,HLA-DOB,HLA-E,ICAM1,IKBKB,IKBKE,ITGAL,ITGB1,ITGB2,ITK,LAT,LCK,LCP2,LEF1,MALT1,MAP2K3,MAP3K1,NCK1,NFATC1,PDK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PPP3CA,PPP3CC,PRKCQ,PTK2B,PTPN22,PTPN6,PTPRC,RAP1B,RASGRP1,SKAP1,Tcf7,Trbv13-2,ZAP70	
CD28 Signaling in T Helper Cells	1.77E01	3.45E-01	0.354	ACTR3,ARPC1B,ARPC2,ARPC4,ARPC5,Calm1 (includes others),CAMK4,CD247,CD28,CD3D,CD3E,CD3G,CD4,FCER1G,FYN,GRAP2,HLA-A,HLA-DOB,IKBKB,IKBKE,ITK,LAT,LCK,LCP2,MALT1,MAP3K1,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PPP3CA,PPP3CC,PRKCQ,PTPN6,PTPRC,SYK,Trbv13-2,ZAP70	
Th1 Pathway	1.52E01	3.37E-01	0.192	CCR5,CD247,CD28,CD3D,CD3E,CD3G,CD4,HLA-A,HLA-DOB,ICAM1,IFNGR1,IFNGR2,IL10RA,IL10RB,IL12RB2,IL18R1,IL27RA,IL6R,ITGB2,JAK1,KLRC1,KLRD1,NFATC1,NOTCH2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKCQ,RUNX3,SOCS3,STAT1,STAT4,TBX21,TYK2	
Phospholipase C Signaling	1.49E01	2.31E-01	2.082	AHNAK,ARHGEF1,ARHGEF18,ARHGEF2,ARHGEF3,Calm1 (includes others),CAMK4,CD247,CD3D,CD3E,CD3G,Cdc42,FCER1G,FCGR2A,FCGR2B,FNBP1,FYN,GNB1,GRAP2,HDAC4,IGHM,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,ITK,LAT,LCK,LCP2,LYN,MEF2A,MEF2C,MYL12B,MYL6,NFATC1,PLCG1,PLCG2,PLD3,PPP1R12A,PPP3CA,PPP3CC,PRKCB,PRKCQ,RAC2,RAP1B,RHOA,RHOF,RHOH,SYK,Trbv13-2,ZAP70	
Th1 and Th2 Activation Pathway	1.49E01	2.8E-01	NaN	CCR5,CD247,CD28,CD3D,CD3E,CD3G,CD4,CXCR6,HLA-A,HLA-DOB,ICAM1,IFNGR1,IFNGR2,IL10RA,IL10RB,IL12RB2,IL18R1,IL27RA,IL2RB,IL2RG,IL4R,IL6R,ITGB2,JAK1,KLRC1,KLRD1,NFATC1,NOTCH2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKCQ,RUNX3,S1PR1,SOCS3,STAT1,STAT4,STAT5B,TBX21,TGFBR2,TYK2	
Tec Kinase Signaling	1.42E01	2.59E-01	1.826	ACTB,ACTG1,CD247,CD3D,CD3E,CD3G,Cdc42,FASLG,FCER1G,FNBP1,FYN,GNB1,GTF2I,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,ITK,JAK1,LCK,LYN,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,PTK2B,RAC2,RHOA,RHOF,RHOH,STAT1,STAT4,STAT5B,TNFRSF25,Trbv13-2,TXK,TYK2	
iCOS-iCOSL Signaling in T Helper Cells	1.41E01	3.21E-01	-1.347	Calm1 (includes others),CAMK2G,CAMK4,CD247,CD28,CD3D,CD3E,CD3G,CD4,FCER1G,GRAP2,HLA-A,HLA-DOB,IKBKB,IKBKE,IL2RB,IL2RG,INPP5D,ITK,LAT,LCK,LCP2,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PPP3CA,PPP3CC,PRKCQ,PTPRC,Trbv13-2,ZAP70	
T Cell Exhaustion Signaling Pathway	1.33E01	2.71E-01	1.095	BTLA,CD247,CD28,CD3D,CD3E,CD3G,EOMES,FCER1G,FOXO1,HLA-A,HLA-DOB,HLA-E,IL10RA,IL10RB,IL12RB2,IL6R,IRF9,JAK1,NFATC1,PDK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPM1J,PRDM1,PRKCQ,PTPN6,RAP1B,SMAD3,STAT1,STAT4,TBX21,TGFBR2,Trbv13-2,TYK2,ZAP70	
