© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
EIF2 Signaling	2.84E01	2.49E-01	4.264	EIF3E,EIF3H,EIF3K,EIF4A2,EIF5,HSPA5,PABPC1,PIK3CD,RPL10,RPL12,RPL13,RPL14,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL26,RPL3,RPL35A,Rpl36a,RPL4,RPL41,RPL6,RPL7,RPL8,RPLP0,RPS11,RPS14,RPS15,RPS15A,RPS19,RPS2,RPS20,RPS24,RPS25,RPS26,RPS27A,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA	
Coronavirus Pathogenesis Pathway	1.35E01	1.71E-01	-4.747	EEF1A1,HDAC4,IKBKB,IL17RA,IRF9,NPM1,RPS11,RPS14,RPS15,RPS15A,RPS19,RPS2,RPS20,RPS24,RPS25,RPS26,RPS27A,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,STAT1,TGFBR2,TP53,ZC3HAV1	
Regulation of eIF4 and p70S6K Signaling	1.24E01	1.74E-01	NaN	EIF3E,EIF3H,EIF3K,EIF4A2,ITGB7,PABPC1,PIK3CD,RPS11,RPS14,RPS15,RPS15A,RPS19,RPS2,RPS20,RPS24,RPS25,RPS26,RPS27A,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA	
mTOR Signaling	1.14E01	1.53E-01	2.236	EIF3E,EIF3H,EIF3K,EIF4A2,EIF4B,PIK3CD,PRKCQ,RHOH,RPS11,RPS14,RPS15,RPS15A,RPS19,RPS2,RPS20,RPS24,RPS25,RPS26,RPS27A,RPS29,RPS3,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA	
T Cell Receptor Signaling	1.13E01	1.51E-01	4.811	CAMK4,CD247,CD28,CD3D,CD3E,CD3G,CD4,FYB1,GRAP2,HLA-DOB,HLA-E,IKBKB,IKBKE,ITK,LAT,LCK,LCP2,LEF1,PDK1,PIK3CD,PLCG1,PRKCQ,PTPN6,RASGRP1,SKAP1,Tcf7,Trbv13-2,ZAP70	
CD28 Signaling in T Helper Cells	1.1E01	1.9E-01	3.500	ACTR3,CAMK4,CD247,CD28,CD3D,CD3E,CD3G,CD4,GRAP2,HLA-DOB,IKBKB,IKBKE,ITK,LAT,LCK,LCP2,PIK3CD,PLCG1,PRKCQ,PTPN6,Trbv13-2,ZAP70	
iCOS-iCOSL Signaling in T Helper Cells	1.09E01	1.98E-01	4.000	CAMK4,CD247,CD28,CD3D,CD3E,CD3G,CD4,GRAP2,HLA-DOB,IKBKB,IKBKE,IL2RG,ITK,LAT,LCK,LCP2,PIK3CD,PLCG1,PRKCQ,Trbv13-2,ZAP70	
T Helper Cell Differentiation	8.17E00	2.05E-01	NaN	CD247,CD28,CD3D,CD3E,CD3G,HLA-DOB,IFNGR2,IL21R,IL2RG,IL4R,IL6R,IL6ST,STAT1,TGFBR2,Trbv13-2	
CTLA4 Signaling in Cytotoxic T Lymphocytes	7.6E00	1.88E-01	NaN	CD247,CD28,CD3D,CD3E,CD3G,GRAP2,HLA-E,LAT,LCK,LCP2,PIK3CD,PLCG1,PTPN6,Trbv13-2,ZAP70	
T Cell Exhaustion Signaling Pathway	7.58E00	1.39E-01	0.277	BTLA,CD247,CD28,CD3D,CD3E,CD3G,FOXO1,HLA-DOB,HLA-E,IL6R,IRF9,PDK1,PIK3CD,PLCG1,PRKCQ,PTPN6,STAT1,TGFBR2,Trbv13-2,ZAP70	
Th1 and Th2 Activation Pathway	7.27E00	1.33E-01	NaN	CD247,CD28,CD3D,CD3E,CD3G,CD4,CXCR6,HLA-DOB,IFNGR2,IL27RA,IL2RG,IL4R,IL6R,PIK3CD,PRKCQ,S1PR1,SOCS3,STAT1,STAT5B,TGFBR2	
Primary Immunodeficiency Signaling	6.96E00	2.78E-01	NaN	CD3D,CD3E,CD4,IGHM,IL2RG,IL7R,LCK,TAP1,TAP2,ZAP70	
PD-1, PD-L1 cancer immunotherapy pathway	6.89E00	1.67E-01	-3.357	CD247,CD28,HLA-DOB,HLA-E,IFNGR2,IL2RG,LAT,LCK,LCP2,PIK3CD,PLCG1,PRKCQ,RASGRP1,STAT5B,ZAP70	
Calcium-induced T Lymphocyte Apoptosis	6.6E00	2.03E-01	3.317	CAMK4,CD247,CD3D,CD3E,CD3G,CD4,HLA-DOB,LCK,PLCG1,PRKCQ,Trbv13-2,ZAP70	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	6.33E00	1.52E-01	3.357	CAMK4,CD247,CD28,CD3D,CD3E,CD3G,IKBKB,IKBKE,LAT,LCK,PLCG1,PRKCQ,TGFBR2,Trbv13-2,ZAP70	
Role of NFAT in Regulation of the Immune Response	6.2E00	1.15E-01	4.243	CAMK4,CD247,CD28,CD3D,CD3E,CD3G,CD4,HLA-DOB,IGHM,IKBKB,IKBKE,ITK,LAT,LCK,LCP2,PIK3CD,PLCG1,PRKCQ,Trbv13-2,ZAP70	
PKCθ Signaling in T Lymphocytes	6.13E00	1.24E-01	4.123	CD247,CD28,CD3D,CD3E,CD3G,CD4,GRAP2,HLA-DOB,IKBKB,IKBKE,LAT,LCK,LCP2,PIK3CD,PLCG1,PRKCQ,Trbv13-2,ZAP70	
Th2 Pathway	5.99E00	1.34E-01	2.673	CD247,CD28,CD3D,CD3E,CD3G,CD4,CXCR6,HLA-DOB,IL2RG,IL4R,PIK3CD,PRKCQ,S1PR1,SOCS3,STAT5B,TGFBR2	
Antigen Presentation Pathway	5.78E00	2.86E-01	NaN	CD74,HLA-DOB,HLA-E,NLRC5,PSMB8,TAP1,TAP2,TAPBP	
Th1 Pathway	5.32E00	1.35E-01	3.207	CD247,CD28,CD3D,CD3E,CD3G,CD4,HLA-DOB,IFNGR2,IL27RA,IL6R,PIK3CD,PRKCQ,SOCS3,STAT1	
Type I Diabetes Mellitus Signaling	4.58E00	1.24E-01	2.333	CD247,CD28,CD3D,CD3E,CD3G,HLA-DOB,HLA-E,IFNGR2,IKBKB,IKBKE,SOCS3,STAT1,Trbv13-2	
Communication between Innate and Adaptive Immune Cells	4.55E00	1.43E-01	NaN	CCR7,CD247,CD28,CD3D,CD3E,CD3G,CD4,HLA-E,IGHM,TLR1,Trbv13-2	
Autoimmune Thyroid Disease Signaling	4.53E00	2E-01	NaN	CD247,CD28,CD3D,CD3E,CD3G,HLA-DOB,HLA-E,Trbv13-2	
Antiproliferative Role of TOB in T Cell Signaling	4.53E00	2E-01	-1.890	CD247,CD28,CD3D,CD3E,CD3G,PABPC1,TGFBR2,Trbv13-2	
Graft-versus-Host Disease Signaling	4.37E00	1.9E-01	NaN	CD247,CD28,CD3D,CD3E,CD3G,HLA-DOB,HLA-E,Trbv13-2	
Nur77 Signaling in T Lymphocytes	4.14E00	1.29E-01	2.828	CAMK4,CD247,CD28,CD3D,CD3E,CD3G,HLA-DOB,HLA-E,PDK1,PRKCQ,Trbv13-2	
Hematopoiesis from Pluripotent Stem Cells	4.03E00	2E-01	NaN	CD247,CD3D,CD3E,CD3G,CD4,IGHM,Trbv13-2	
Tec Kinase Signaling	4.01E00	9.41E-02	3.162	CD247,CD3D,CD3E,CD3G,GTF2I,ITGB7,ITK,LCK,PIK3CD,PLCG1,PRKCQ,RHOH,STAT1,STAT5B,TNFRSF25,Trbv13-2	
Allograft Rejection Signaling	3.93E00	1.67E-01	NaN	CD247,CD28,CD3D,CD3E,CD3G,HLA-DOB,HLA-E,Trbv13-2	
Phospholipase C Signaling	3.78E00	8.12E-02	3.464	ARHGEF1,CAMK4,CD247,CD3D,CD3E,CD3G,GRAP2,HDAC4,IGHM,ITGB7,ITK,LAT,LCK,LCP2,PLCG1,PRKCQ,RHOH,Trbv13-2,ZAP70	
Systemic Lupus Erythematosus Signaling	3.71E00	9.26E-02	NaN	CAMK4,CD247,CD28,CD3D,CD3E,CD3G,HLA-E,IGHM,IL6R,LAT,LCK,PIK3CD,PLCG1,PTPN6,Trbv13-2	
Natural Killer Cell Signaling	3.65E00	9.15E-02	2.840	CD226,CD247,HCST,HLA-E,HSPA5,HSPA9,LAT,LCK,LCP2,PIK3CD,PLCG1,PRKCQ,PTPN6,RASSF5,ZAP70	
Glucocorticoid Receptor Signaling	3.59E00	6.4E-02	NaN	ARID1A,ATP5F1B,CD247,CD3D,CD3E,CD3G,HLA-DOB,HLA-E,HSPA5,HSPA9,IKBKB,IKBKE,IL17RA,IL21R,IL27RA,IL2RG,IL4R,IL6R,IL6ST,IL7R,NDUFA10,NDUFA3,PIK3CD,SDHA,STAT1,STAT5B,TGFBR2,TSC22D3,VIPR1	
Interferon Signaling	3.44E00	1.94E-01	2.236	IFIT1,IFNGR2,IRF9,PSMB8,STAT1,TAP1	
OX40 Signaling Pathway	3.4E00	1.4E-01	1.342	CD247,CD3D,CD3E,CD3G,CD4,HLA-DOB,HLA-E,Trbv13-2	
Dendritic Cell Maturation	3.36E00	8.97E-02	3.000	CCR7,CD247,CD3D,CD3E,CD3G,HLA-DOB,HLA-E,IKBKB,IKBKE,LTB,PIK3CD,PLCG1,STAT1,Trbv13-2	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	3.35E00	1.14E-01	NaN	CD247,CD28,CD3D,CD3E,CD3G,HLA-DOB,IGHM,LTB,TLR1,Trbv13-2	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	3.21E00	1.76E-01	2.000	CD247,CD3D,CD3E,CD3G,HLA-E,Trbv13-2	
SAPK/JNK Signaling	3.18E00	1.01E-01	1.633	CD247,CD3D,CD3E,CD3G,DAXX,HNRNPK,LCK,MAP4K2,PIK3CD,TP53,Trbv13-2	
Lipid Antigen Presentation by CD1	3.01E00	2E-01	NaN	CD247,CD3D,CD3E,CD3G,Trbv13-2	
Role of JAK family kinases in IL-6-type Cytokine Signaling	3.01E00	2E-01	NaN	IL6R,IL6ST,SOCS3,STAT1,STAT5B	
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.01E00	1.23E-01	NaN	IL21R,IL2RG,IL4R,IL7R,PIK3CD,SOCS3,STAT1,STAT5B	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	2.92E00	7.3E-02	2.668	CAMK4,CCND2,CD5,FOXO1,IFNGR2,IGHM,IL6R,IL6ST,IRF9,LCK,LTB,PIK3CD,PRKCQ,PTPN6,RASGRP1,STAT1,TNFSF8	
HER-2 Signaling in Breast Cancer	2.87E00	8E-02	1.604	COX7A2L,CYB5A,ETS1,FOXO1,IKBKB,IKBKE,ITGB7,LCK,PDK1,PIK3CD,PLCG1,PRKCQ,RPS6,TP53	
Th17 Activation Pathway	2.8E00	1.14E-01	NaN	CD247,CD3D,CD3E,CD3G,IL21R,IL6R,SOCS3,Trbv13-2	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	2.69E00	7.39E-02	3.162	CAMK4,CD247,CD28,CD3D,CD3E,CD3G,HLA-DOB,HLA-E,LAT,MSN,PDK1,PIK3CD,PLCG1,RHOH,Trbv13-2	
PI3K/AKT Signaling	2.67E00	7.61E-02	2.000	FOXO1,IKBKB,IKBKE,IL17RA,IL21R,IL27RA,IL2RG,IL4R,IL6R,IL6ST,IL7R,ITGB7,PIK3CD,TP53	
CCR5 Signaling in Macrophages	2.57E00	9.68E-02	NaN	CAMK4,CD247,CD3D,CD3E,CD3G,CD4,PLCG1,PRKCQ,Trbv13-2	
Diphthamide Biosynthesis	2.53E00	6.67E-01	NaN	DPH5,EEF2	
Cdc42 Signaling	2.51E00	8.33E-02	2.646	ACTR3,CD247,CD3D,CD3E,CD3G,CLIP1,HLA-DOB,HLA-E,ITGB7,ITK,Trbv13-2	
NF-κB Signaling	2.49E00	7.56E-02	2.828	CD247,CD3D,CD3E,CD3G,IKBKB,LCK,PELI1,PIK3CD,PRKCQ,TGFBR2,TLR1,Trbv13-2,ZAP70	
STAT3 Pathway	2.48E00	8.27E-02	0.816	IL17RA,IL21R,IL27RA,IL2RG,IL4R,IL6R,IL6ST,IL7R,PTPN6,SOCS3,TGFBR2	
Growth Hormone Signaling	2.44E00	1.11E-01	1.134	PIK3CD,PLCG1,PRKCQ,PTPN6,SOCS3,STAT1,STAT5B	
IL-9 Signaling	2.39E00	1.47E-01	1.342	IL2RG,PIK3CD,SOCS3,STAT1,STAT5B	
Crosstalk between Dendritic Cells and Natural Killer Cells	2.26E00	1.03E-01	2.646	CCR7,CD226,CD28,CD69,HLA-E,IL2RG,LTB	
GP6 Signaling Pathway	2.17E00	8.41E-02	2.236	CAMK4,FYB1,GRAP2,ITK,LAT,LCP2,PIK3CD,PLCG1,PRKCQ	
IL-7 Signaling Pathway	2.15E00	9.86E-02	2.449	FOXO1,IGHM,IL2RG,IL7R,PIK3CD,STAT1,STAT5B	
Role of PKR in Interferon Induction and Antiviral Response	2E00	7.89E-02	1.000	HSPA5,HSPA9,IFNGR2,IKBKB,IKBKE,IRF9,NPM1,STAT1,TP53	
BAG2 Signaling Pathway	1.94E00	8.97E-02	0.816	CTSB,HSPA5,HSPA9,PSMB8,PSME1,PSME2,TP53	
iNOS Signaling	1.84E00	1.09E-01	2.000	CAMK4,IFNGR2,IKBKB,IKBKE,STAT1	
Role of JAK2 in Hormone-like Cytokine Signaling	1.8E00	1.29E-01	NaN	PTPN6,SOCS3,STAT1,STAT5B	
Chronic Myeloid Leukemia Signaling	1.79E00	7.77E-02	NaN	CCND2,HDAC4,IKBKB,IKBKE,PIK3CD,STAT5B,TGFBR2,TP53	
Cardiac Hypertrophy Signaling (Enhanced)	1.74E00	5.05E-02	4.025	AKAP13,CAMK4,HDAC4,IKBKB,IKBKE,IL17RA,IL21R,IL27RA,IL2RG,IL4R,IL6R,IL6ST,IL7R,ITGB7,LTB,PDE4B,PDK1,PIK3CD,PLCG1,PRKCQ,RPS6,TGFBR2,TNFSF8	
Leukocyte Extravasation Signaling	1.7E00	6.43E-02	2.530	ARHGAP1,ITK,MSN,PECAM1,PIK3CD,PLCG1,PRKCQ,RAPGEF4,RASGRP1,RASSF5,RHOH	
FAT10 Cancer Signaling Pathway	1.69E00	1E-01	1.342	EEF1A1,IKBKB,IKBKE,TGFBR2,TP53	
Thyroid Cancer Signaling	1.61E00	8.45E-02	1.633	FOXO1,LEF1,PDK1,PIK3CD,Tcf7,TP53	
Phosphatidylethanolamine Biosynthesis II	1.61E00	2.5E-01	NaN	ETNK1,PCYT2	
Non-Small Cell Lung Cancer Signaling	1.6E00	7.69E-02	0.000	CCND2,HDAC4,PIK3CD,PLCG1,RASSF5,STK4,TP53	
Necroptosis Signaling Pathway	1.6E00	6.77E-02	3.000	CFLAR,CYLD,IKBKB,IRF9,PELI1,RBCK1,SLC25A4,STAT1,TP53	
p70S6K Signaling	1.51E00	6.9E-02	2.646	EEF2,IGHM,IL2RG,IL4R,PIK3CD,PLCG1,PRKCQ,RPS6	
NF-κB Activation by Viruses	1.51E00	8E-02	2.449	CD4,IKBKB,IKBKE,LCK,PIK3CD,PRKCQ	
IL-3 Signaling	1.51E00	8E-02	0.816	FOXO1,PIK3CD,PRKCQ,PTPN6,STAT1,STAT5B	
Glioma Signaling	1.49E00	6.84E-02	2.000	CAMK4,CCND2,HDAC4,IDH2,PIK3CD,PLCG1,PRKCQ,TP53	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.49E00	5.38E-02	NaN	CAMK4,IKBKB,IKBKE,IL16,IL17RA,IL6R,IL6ST,LEF1,LTB,PIK3CD,PLCG1,PRKCQ,SOCS3,Tcf7,TLR1	
MSP-RON Signaling In Macrophages Pathway	1.47E00	7.22E-02	-1.134	HLA-DOB,IFNGR2,IKBKB,IKBKE,PIK3CD,SOCS3,STAT1	
B Cell Development	1.46E00	1.3E-01	NaN	HLA-DOB,IGHM,IL7R	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.46E00	1.3E-01	NaN	IFNGR2,PTPN6,STAT1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.43E00	6.06E-02	2.333	IFNGR2,IKBKB,IKBKE,PIK3CD,PLCG1,PPP1R11,PRKCQ,PTPN6,RHOH,STAT1	
IL-22 Signaling	1.41E00	1.25E-01	NaN	SOCS3,STAT1,STAT5B	
HIF1α Signaling	1.41E00	5.79E-02	0.905	CAMK4,GPI,HSPA5,HSPA9,IL6R,PIK3CD,PLCG1,PRKCQ,RACK1,RPS6,TP53	
Thrombopoietin Signaling	1.39E00	8.33E-02	2.236	PIK3CD,PLCG1,PRKCQ,STAT1,STAT5B	
