© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
GFI1	 	transcription regulator	Inhibited	-3.768	bias	4.98E-11	BTLA,CCND2,CCR7,CD53,CFLAR,FOXO1,GPR183,HDAC4,Iigp1,IKBKB,IL6R,IL7R,ITGB7,Ly6a (includes others),NLRC5,RAPGEF4,RASGRP1,S1PR1,STAT1,TNFRSF25	 
Tcf7	71.265	transcription regulator	 	-1.398	 	2.59E-10	BCL11B,CCR9,CD3E,CD4,CD69,CNR2,DTX1,ETNK1,FAAH,GM2A,ID3,IFT80,IL21R,IL27RA,IL7R,IZUMO1R,LEF1,PECAM1,SELL,SGMS1,SOCS3,SPTSSA,SREBF2,STAT1,TLR1,TOX,ZC3H12D	 
ID2	 	transcription regulator	 	0.905	 	2.40E-09	CCND2,CCR7,CCR9,CXCR6,DGKA,DTX1,FOXO1,Foxp1,IFNGR2,IGFBP4,IKZF2,IL4R,IL6R,IL7R,LTB,PIK3IP1,RAPGEF4,SELL,SLAMF6,SOCS3,Tcf7,TNFRSF25,TNFSF8	 
ID3	26.537	transcription regulator	 	1.667	 	1.11E-08	CCND2,CCR7,CCR9,CXCR6,DGKA,DTX1,FOXO1,Foxp1,IFNGR2,IGFBP4,IKZF2,IL4R,IL6R,IL7R,LTB,PIK3IP1,RAPGEF4,SELL,SLAMF6,SOCS3,TNFRSF25,TNFSF8	 
TCF3	 	transcription regulator	 	1.327	bias	1.19E-08	ASB2,CD3D,CD3G,CXCR6,EDEM1,HCST,ID3,IFI16,IGHM,ITGB7,KCNN4,LCK,LEF1,Ly6a (includes others),S1PR1,SELENOP,SELL,SPCS2,STK17B,TENT5C,TLR1,TNFRSF25,VSIR	 
IL10RA	 	transmembrane receptor	Inhibited	-4.424	 	1.22E-08	ABCG1,Art2b,CCR7,CD69,ENTPD5,GBP2,GBP6,IFI16,Ifi47,Iigp1,IKBKE,IL2RG,Irgm1,ITGB7,Ly6a (includes others),NLRC5,PARVG,PSMB8,RNF213,S1PR1,SAMHD1,SELL,SLAMF6,Slfn1,STAT1,TAP1,TAP2	 
TCF12	 	transcription regulator	 	-1.155	bias	3.96E-08	ASB2,CD3D,CD3G,CXCR6,ID3,ITGB7,LCK,Ly6a (includes others),S1PR1,STK17B,TLR1,TNFRSF25	 
IL2RG	18.229	transmembrane receptor	Inhibited	-2.333	bias	6.63E-08	ABCG1,ARHGAP45,IGHM,IKBKE,IL7R,LTB,MAP4K2,NPC2,RHOH,UBA7	 
STAT6	 	transcription regulator	Inhibited	-2.628	 	2.66E-07	Acp5,AKAP13,CCND2,CCR7,CD69,Cmah,CNR2,DGKA,GBP2,GBP6,IFI16,IFIT1B,Igtp,Iigp1,IL4R,IRF9,Irgm1,ITGB7,LCP2,LTB,Ly6a (includes others),RNF213,ST6GAL1,STAT5B,Tcf7	29 (2)
NFAT5	 	transcription regulator	Inhibited	-2.333	bias	4.69E-07	Art2b,CD74,DAXX,IFI16,IFIT1B,Iigp1,Irgm1,Slfn1,STAT1	16 (2)
PTGER4	 	G-protein coupled receptor	 	-1.695	bias	6.60E-07	CD69,DAXX,GBP2,GBP6,IFI16,Ifi47,IFIT1B,Igtp,Irgm1,LPAR6,RASSF2,RNF213,RTP4,S1PR1,ST6GAL1,TP53INP1	 
SMARCA5	 	transcription regulator	 	-1.861	bias	1.90E-06	CAMK4,CCND2,CD53,DTX1,GBP6,GM2A,IGFBP4,IL7R,KBTBD11,LPAR6,Ly6a (includes others),NLRC5,RTP4,THEMIS,TSPAN32	 
LDB1	 	transcription regulator	 	-0.408	 	2.00E-06	CCND2,CD247,CD3E,CD3G,CD53,DPP4,GPR183,Iigp1,ITGB7,ITM2C,LCK,LEF1,MGST2,NLRC5,NSG2,OXCT1,PIK3CD,RASGRP1,RHOH,SLC16A5,ST6GALNAC3,TAP1,Tcf7,UBASH3A	 
IRF3	 	transcription regulator	Activated	3.576	bias	3.18E-06	BTLA,CD69,DAXX,IFI16,Ifi27l2a/Ifi27l2b,Ifi47,IFIT1B,Igtp,Irgm1,NLRC5,Slfn1,STAT1,TAP1	 
IRF7	 	transcription regulator	Activated	3.130	bias	4.78E-06	CD69,DAXX,IFI16,Ifi47,Igtp,Irgm1,Ly6a (includes others),Slfn1,STAT1,TAP1	 
ETS1	64.573	transcription regulator	Activated	2.332	bias	5.61E-06	CD27,HCST,IKZF2,IL7R,ITK,LCK,LTB,SLAMF6,ZAP70	 
