© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Natural Killer Cell Signaling	1.75E01	2.2E-01	4.564	B2M,CD244,CD48,CFL1,FASLG,FCER1G,FCGR2A,FYN,HLA-A,HSPA8,IL12RB2,IL18R1,IL18RAP,IL2RB,ITGAL,ITGB1,Klra7 (includes others),KLRB1,KLRC1,KLRD1,MAP2K3,MAP3K1,NCK1,NCR1,NFATC1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PTK2B,RAC2,RAP1B,SH2D1A,STAT4,SYK,TYK2	
Integrin Signaling	1.43E01	1.86E-01	4.490	ACTB,ACTG1,ARF1,ARF4,ARHGAP26,ARPC1B,ARPC2,ARPC4,ARPC5,CAPN2,Cdc42,FNBP1,FYN,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MYL12B,NCK1,PFN1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP1R12A,RAC2,RAP1B,RAPGEF1,RHOA,RHOF,TLN1,ZYX	
Signaling by Rho Family GTPases	1.2E01	1.56E-01	4.707	ACTB,ACTG1,ARHGEF18,ARHGEF2,ARHGEF3,ARPC1B,ARPC2,ARPC4,ARPC5,Cdc42,CDC42EP3,CFL1,FNBP1,GNB1,IQGAP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MYL12B,MYL6,PIK3CG,PIK3R1,PIK3R5,PPP1R12A,PTK2B,RAC2,RHOA,RHOF,SEPTIN11,SEPTIN2,VIM	
Regulation of Actin-based Motility by Rho	1.18E01	2.42E-01	3.500	ACTB,ARHGDIA,ARPC1B,ARPC2,ARPC4,ARPC5,Cdc42,CFL1,FNBP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MYL12B,MYL6,PFN1,PPP1R12A,RAC2,RHOA,RHOF	
Phospholipase C Signaling	1.18E01	1.5E-01	4.811	AHNAK,ARHGEF18,ARHGEF2,ARHGEF3,Calm1 (includes others),Cdc42,FCER1G,FCGR2A,FCGR2B,FNBP1,FYN,GNB1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,LYN,MEF2A,MEF2C,MYL12B,MYL6,NFATC1,PLCG2,PLD3,PPP1R12A,PPP3CA,PPP3CC,PRKCB,RAC2,RAP1B,RHOA,RHOF,SYK	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.11E01	2.36E-01	4.146	ACTB,ACTG1,ARPC1B,ARPC2,ARPC4,ARPC5,CBL,FCGR2A,FYN,INPP5D,LYN,NCK1,PIK3CG,PIK3R1,PLD3,PRKCB,PTK2B,RAB11A,RAC2,SYK,TLN1	
Tec Kinase Signaling	1.05E01	1.65E-01	4.472	ACTB,ACTG1,Cdc42,FASLG,FCER1G,FNBP1,FYN,GNB1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,JAK1,LYN,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,PTK2B,RAC2,RHOA,RHOF,STAT4,TXK,TYK2	
Actin Cytoskeleton Signaling	1.04E01	1.53E-01	3.128	ACTB,ACTG1,ARPC1B,ARPC2,ARPC4,ARPC5,CFL1,CYFIP2,F2R,FLNA,IQGAP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MYL12B,MYL6,NCKAP1L,PFN1,PIK3CG,PIK3R1,PIK3R5,PPP1R12A,RAC2,RAP1B,RHOA,SSH1,TLN1	
Semaphorin Neuronal Repulsive Signaling Pathway	9.96E00	1.89E-01	-1.091	CD44,CFL1,DPYSL2,FES,FYN,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MAP2K3,MICAL1,MYL12B,MYL6,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP1R12A,PRKACB,PRKAR1A,RHOA	
RhoGDI Signaling	9.92E00	1.61E-01	-3.130	ACTB,ACTG1,ARHGDIA,ARHGEF18,ARHGEF2,ARHGEF3,ARPC1B,ARPC2,ARPC4,ARPC5,CD44,Cdc42,CFL1,FNBP1,GNB1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MYL12B,MYL6,PPP1R12A,RAC2,RHOA,RHOF	
Th1 Pathway	9.73E00	2.02E-01	3.606	CCR5,HLA-A,ICAM1,IFNGR1,IL10RA,IL10RB,IL12RB2,IL18R1,ITGB2,JAK1,KLRC1,KLRD1,NFATC1,NOTCH2,PIK3CG,PIK3R1,PIK3R5,RUNX3,STAT4,TBX21,TYK2	
Actin Nucleation by ARP-WASP Complex	9.14E00	2.22E-01	2.714	ARPC1B,ARPC2,ARPC4,ARPC5,Cdc42,FNBP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,NCK1,PPP1R12A,RAC2,RAP1B,RHOA,RHOF	
B Cell Receptor Signaling	9.03E00	1.52E-01	4.379	BCL2L1,Calm1 (includes others),CAMK2G,CFL1,FCGR2A,FCGR2B,INPP5D,LYN,MALT1,MAP2K3,MAP3K1,MEF2C,NFATC1,PIK3AP1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,PRKCB,PTK2B,PTPRC,RAC2,RAP1B,SYK	
Rac Signaling	8.96E00	1.76E-01	4.123	ARPC1B,ARPC2,ARPC4,ARPC5,CD44,CFL1,CYFIP2,IQGAP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MAP3K1,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAC2,RAP1B,RHOA	
ERK/MAPK Signaling	8.19E00	1.39E-01	3.130	ELF4,FYN,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,NFATC1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPM1J,PPP1CA,PPP1R12A,PRKACB,PRKAR1A,PRKCB,PTK2B,RAC2,RAP1B,RAPGEF1,TLN1,YWHAB,YWHAQ	
Phagosome Formation	8.11E00	1.74E-01	NaN	Cdc42,FCER1G,FCGR2A,FCGR2B,FNBP1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAC2,RHOA,RHOF,SYK	
Leukocyte Extravasation Signaling	7.68E00	1.4E-01	4.264	ACTB,ACTG1,CD44,CYBA,ICAM1,ITGA4,ITGAL,ITGAM,ITGB1,ITGB2,MYL6,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,PTK2B,RAC2,RAP1B,RHOA,SELPLG,SIPA1,SPN,TXK	
Reelin Signaling in Neurons	7.61E00	1.71E-01	3.900	ARHGEF2,ARHGEF3,ARPC1B,ARPC2,ARPC4,ARPC5,CAMK2G,CFL1,FYN,GRINA,ITGB1,LYN,MAP2K3,PIK3CG,PIK3R1,PIK3R5,RAP1B,RAPGEF1,RHOA	
Th1 and Th2 Activation Pathway	7.44E00	1.47E-01	NaN	CCR5,HLA-A,ICAM1,IFNGR1,IL10RA,IL10RB,IL12RB2,IL18R1,IL2RB,ITGB2,JAK1,KLRC1,KLRD1,NFATC1,NOTCH2,PIK3CG,PIK3R1,PIK3R5,RUNX3,STAT4,TBX21,TYK2	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	7.35E00	1.2E-01	3.402	BCL2L1,Calm1 (includes others),CBL,CCND3,CD72,FASLG,FCGR2A,FCGR2B,FYN,IFNGR1,INPP5D,JAK1,LYN,MALT1,NFATC1,PIK3AP1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,PRKCB,RAC2,RAP1B,SYK,TRAF1,TYK2	
PI3K Signaling in B Lymphocytes	7.12E00	1.53E-01	3.130	ATF6,Calm1 (includes others),CAMK2G,CBL,FCGR2B,FYN,INPP5D,LYN,MALT1,NFATC1,PIK3AP1,PIK3CG,PIK3R1,PLCG2,PPP3CA,PPP3CC,PRKCB,PTPRC,RAP1B,SYK	
Axonal Guidance Signaling	7.08E00	9.47E-02	NaN	ADAMTS10,ADAMTS14,ARPC1B,ARPC2,ARPC4,ARPC5,CFL1,DPYSL2,FES,FYN,GNB1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,LNPEP,MICAL1,MYL12B,MYL6,NCK1,NFATC1,PFN1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,RAC2,RAP1B,RGS3,RHOA,SDCBP,SEMA4A	
PI3K/AKT Signaling	7.06E00	1.3E-01	2.138	BCL2L1,HSP90AB1,HSP90B1,IL10RA,IL10RB,IL12RB2,IL18R1,IL18RAP,IL2RB,INPP5D,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,JAK1,PIK3CG,PIK3R1,PPM1J,RAP1B,TYK2,YWHAB,YWHAQ	
T Cell Receptor Signaling	7.01E00	1.3E-01	3.838	B2M,Calm1 (includes others),CBL,FCER1G,FYN,HLA-A,ICAM1,ITGAL,ITGB1,ITGB2,MALT1,MAP2K3,MAP3K1,NCK1,NFATC1,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PTK2B,PTPN22,PTPRC,RAP1B	
