© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
ITK	 	kinase	Activated	5.044	bias	1.38E-38	ARAP3,ARL4D,CCL5,CD244,CD44,CD7,CPNE7,CX3CR1,DENND4A,EOMES,F2R,FASLG,FCER1G,Gzmb,HLA-A,IFNGR1,IL10RA,IL18RAP,IL2RB,Klra7 (includes others),KLRB1,KLRC1,Klrc2/Klrc3,KLRD1,Klrk1,LAT2,Ly6a (includes others),LYN,MYO1F,NCR1,PREX1,PRKCB,SAMD3,Serpina3g (includes others),SLAMF7,SPRY2,STAT4,STYK1,SULF2,TBX21,XCL1	 
Klrk1	198.754	transmembrane receptor	Activated	4.020	bias	2.81E-23	CCL3L3,CCL4,CCL5,CCR5,GZMA,Gzmb,IFNGR1,IL12RB2,IL18R1,IL18RAP,IRF8,KLRC1,Klrc2/Klrc3,KLRD1,Ly6a (includes others),NKG7,PRDM1,PRF1,SEMA4A,TBX21,TXK,XDH	45 (4)
STAT5A	 	transcription regulator	 	 	 	1.43E-17	CCL3L3,CCND3,CCR5,Ctla2a/Ctla2b,EOMES,FASLG,GZMA,Gzmb,ID2,IL12RB2,IL2RB,KLF10,Klra7 (includes others),KLRB1,KLRC1,Klrc2/Klrc3,Klre1,KLRG1,Klrk1,PRDM1,PRF1,RUNX2,S1PR5,SYTL2,TBX21,TNFRSF18,TNFRSF9,TRAF1	32 (2)
FOXP3	 	transcription regulator	 	 	 	9.72E-14	CCL3L3,CCL5,CCR2,Ctla2a/Ctla2b,ENTPD1,EOMES,FGL2,GAPDH,GZMA,Gzmb,HLA-A,ID2,IL10RA,IL12RB2,IL18RAP,IL2RB,KLRG1,LGALS1,P2RY10,PGLYRP1,PRDM1,PTPN22,TBX21,TNFRSF18,XBP1,XCL1	 
CREBBP	 	transcription regulator	Inhibited	-2.425	bias	9.98E-14	ADORA2A,ANXA6,ARHGEF3,ATF6,CA2,CBL,CCND3,CCR5,CD160,CD44,CDC42EP3,CST7,DHRS3,EOMES,EPSTI1,FASLG,FNBP1,FRMD4B,GIMAP1-GIMAP5,GIMAP7,HSD11B1,IL10RA,IL18R1,IL18RAP,IL2RB,KCNIP3,MEF2C,MYO1F,PITPNM1,PRF1,RUNX2,SH2D1A,STAT4,TRAF1	 
IL4	 	cytokine	Activated	2.725	bias	6.40E-13	ANXA2,ANXA6,CCL3L3,CD44,CST7,Ctla2a/Ctla2b,EOMES,FCGR2A,GIMAP1-GIMAP5,GZMA,HCLS1,HSD11B1,IDE,IL10RA,IL18R1,IL2RB,IRF8,ITGA4,KCNAB2,KLRB1,Klrk1,LGALS1,LRRC8C,NABP1,Nedd4,PFKP,PRDM1,PRF1,S100A10,Scd2,SEMA4A,Serpina3g (includes others),STAT4,SYK,TBX21,TMED5,VIM,XBP1	66 (4)
ETS1	 	transcription regulator	 	0.639	bias	1.37E-11	FCGR2A,GZMA,Gzmb,ID2,IL2RB,ITGAM,JAK1,Klra7 (includes others),Klre1,KLRG1,Klrk1,NCR1,PRDM1,PRF1,TBX21	 
DICER1	 	enzyme	 	-0.687	 	4.30E-11	CCR2,CD160,CD44,ENTPD1,EOMES,FCGR2A,IL18R1,ITGA4,ITGAX,ITGB1,Klra7 (includes others),KLRG1,Klrk1,PRF1,SPN	 
TGFB1	 	growth factor	 	0.000	 	4.86E-11	CD44,EOMES,ICAM1,IL2RB,INPP5D,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,TBX21	 
IL15RA	 	transmembrane receptor	 	-1.354	bias	2.40E-10	CD244,CD44,CD84,ITGAX,Klra7 (includes others),KLRC1,NCR1,PTPRC,SPN	 
EP300	 	transcription regulator	 	 	 	4.39E-10	ADORA2A,ANXA6,ARHGEF3,ATF6,CA2,CBL,CCND3,CD160,CDC42EP3,CST7,DHRS3,EPSTI1,FNBP1,FRMD4B,GIMAP1-GIMAP5,GIMAP7,HSD11B1,IL10RA,IL18R1,IL18RAP,KCNIP3,MEF2C,MYO1F,PITPNM1,RUNX2,SH2D1A,STAT4,TRAF1	 
TBX21	75.376	transcription regulator	Activated	3.383	 	1.84E-09	CCL3L3,CX3CR1,GZMA,Gzmb,IL12RB2,IL2RB,KLRG1,PRDM1,PRF1,RUNX3,STAT4,ZEB2	 
CBFB	 	transcription regulator	 	-0.775	 	2.36E-09	CCR5,CD160,FASLG,GIMAP1-GIMAP5,Gzmb,ICAM1,IKZF3,IL2RB,LIMD1,Nedd4,RGS1,RUNX3,STAT4,TBX21,TNFRSF18	 
IL2	 	cytokine	 	1.343	bias	2.68E-09	ANXA1,BCL2L1,CCL4,CCL5,CCR2,CCR5,CD44,CD47,CD9,CORO2A,ENTPD1,EOMES,FGL2,HHEX,IL2RB,Ly6a (includes others),OSBPL3,TBX21,TNFRSF18,TNFRSF1B,TNFRSF9,TRAF1,VIM	61 (6)
LDB1	 	transcription regulator	 	-0.539	 	6.79E-09	ACTB,ANXA1,CASP1,CCND3,CCR2,CYFIP2,F2R,FES,FTH1,GIMAP8,HHEX,KIT,LGALS1,LPIN2,LYN,MALT1,MAP3K1,MEF2C,PLCG2,SAMSN1,SMAD3,SPRY2,SQSTM1,STX7,TBX21,TES,TNFRSF1B,TRAF1,TSPO,UNC93B1,ZMIZ1	 
IFNG	 	cytokine	Activated	3.965	bias	9.05E-09	ACTB,ATP1B1,CCL3L3,CCL4,CCL5,CCR2,CCR5,CD44,F2R,FASLG,Gzmb,ICAM1,IL12RB2,IL18R1,IL18RAP,IRF8,ITGA4,ITGAL,Klra7 (includes others),KLRG1,Klrk1,LAT2,Ly6a (includes others),PRDM1,PRF1,RUNX3,TBX21	67 (6)
RAC2	8.992	enzyme	 	 	 	1.10E-08	ANXA1,BCL2L1,CAP1,CCL3L3,CCL4,CCR5,CD244,PKM,RUNX2,S100A6,STAT4,ZYX	 
MAPK1	 	kinase	 	-1.921	bias	3.11E-08	ARSB,ATP1B1,CAPN2,CCL3L3,CCL4,CRYBG1,CTSW,FES,LGALS1,NFATC1,NKG7,OSBPL3,Serpina3g (includes others),TBX21,TNFRSF1B,TNFRSF9	 
Tcf7	 	transcription regulator	 	-0.765	 	3.76E-08	CCL3L3,CCL4,CCR2,EOMES,FASLG,FYN,GEM,GSAP,GZMA,Gzmb,ID2,IFNGR1,IKZF3,IL2RB,INPP5D,Klra7 (includes others),KLRG1,LYN,MXD1,OSBPL3,OSBPL5,P4HB,PRDM1,PRF1,STX11,TBX21	51 (4)
CD38	 	enzyme	Activated	4.505	bias	4.08E-08	AK3,ANXA2,ANXA6,ATP1B1,FGL2,KCNAB2,LRRC8C,NABP1,PFKP,PKM,PPP3CA,PPP3CC,PRDM1,S100A6,Scd2,SEMA4A,Serpina3g (includes others),TMED5,TPI1,VIM,XBP1	 
ZEB2	28.666	transcription regulator	 	0.588	 	1.14E-07	CCL3L3,CD7,CX3CR1,GZMA,ID2,INPP5D,KLRG1,LTA4H,NKG7,PLCG2	 
TYROBP	 	transmembrane receptor	 	 	 	1.14E-07	CD84,IL10RA,IRF8,ITGAM,ITGAX,NCKAP1L,PLEK,SAMSN1,TCIRG1,TNFRSF1B	 
STAT6	 	transcription regulator	 	-1.066	 	4.82E-07	ACTB,AHNAK,ANXA1,CA2,Ccdc50,CCR5,CD72,CST7,CTSW,EFHD2,FCGR2A,Gzmb,IL10RA,IL18R1,Ly6a (includes others),PPP3CC,PREX1,S100A10,SAMSN1,Scd2,STAT4,SYK,TBX21,TES,TXK,VIM,XBP1	 
SMARCA5	 	transcription regulator	Inhibited	-3.623	bias	6.22E-07	ATP8B4,B2M,CASP1,CD44,CORO2A,FKBP5,HLA-A,IKZF3,IL12RB2,KIT,Ly6a (includes others),LYN,NKG7,PLCG2,SEMA4A,SNX10,UNC93B1	 
ID3	 	transcription regulator	Activated	2.137	 	8.26E-07	BCL2L1,BTG2,CCL5,CCR5,CD44,EOMES,FCER1G,ICAM1,IFNGR1,IKZF3,IL10RA,IL2RB,IRF8,LGALS1,NFATC1,PIK3R1,PIK3R5,PTPN22,SH2D1A,STAT4,TRAF1	 
IL5	 	cytokine	Activated	4.208	bias	8.69E-07	AK3,ANXA2,ANXA6,ATP1B1,FGL2,KCNAB2,LRRC8C,NABP1,PFKP,PKM,PRDM1,S100A6,Scd2,SEMA4A,Serpina3g (includes others),TPI1,VIM,XBP1	 
ID2	68.408	transcription regulator	 	1.772	 	9.15E-07	BCL2L1,BTG2,CCL5,CCR5,CD44,EOMES,FCER1G,ICAM1,IFNGR1,IKZF3,IL10RA,IL2RB,IRF8,LGALS1,NFATC1,PIK3R1,PIK3R5,PTPN22,SH2D1A,STAT4,TRAF1	 
TCF3	 	transcription regulator	 	0.229	bias	9.30E-07	ANXA6,ARHGEF18,CCR2,CD200R1L,ENTPD1,HSD11B1,HSP90B1,ID2,IL18R1,IL18RAP,IL2RB,ITGA4,Ly6a (includes others),PPIA,PRDM1,SAMD9L,Serpina3g (includes others),SLAMF7,SLC66A3,SUB1,TXNDC5,XBP1	 
