© 2000-2021 QIAGEN. All rights reserved.
Symbol	Synonym(s)	Entrez Gene Name	Entrez Gene/Gene Symbol - mouse (Entrez Gene)	Expr Fold Change	Expr p-value	Location	Family	Drugs	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat	
Antigen presentation						Other	function					
BCL6	B cell leukaemia/lymphoma 6, B cell leukemia/lymphoma 6, BCL5, BCL6A, BCL6 transcription repressor, BCL6, transcription repressor, LAZ3, ZBTB27, zinc finger protein 51, ZNF51	BCL6 transcription repressor				Nucleus	transcription regulator		604	12053	303836	
Binding of lymphatic system cells						Other	function					
CD28	CD28 ANTIGEN, CD28I, CD28 molecule, CD28RNA, LOC100048845, Tp44	CD28 molecule	Cd28	22.2564868061984	0.109757153939874	Plasma Membrane	transmembrane receptor	lulizumab pegol, FPT155, REGN5678	940	12487	25660	
CD28 Signaling in T Helper Cells						Other	canonical pathway					
CD38	ADPRC 1, ADP-ribosyl cyclase 1, CD38 ANTIGEN, CD38 molecule, Cd38-rs1, I-19	CD38 molecule				Plasma Membrane	enzyme	TAK-079, TAK-573, anti-CD38 antibody, anti-CD38 monoclonal antibody, isatuximab, daratumumab, MOR03087	952	12494	25668	
Cell viability of T lymphocytes						Other	function					
Clonal expansion of T lymphocytes						Other	function					
DOCK8	1200017A24RIK, 5830472H07RIK, A130095G14RIK, AI461977, dedicator of cytokinesis 8, HEL-205, MRD2, ZIR8	dedicator of cytokinesis 8				Cytoplasm	other		81704	76088	499337	
ETS1	AI196000, AI448617, c-ets-1, D230050P06, E26 avian leukaemia oncogene 1, 5' domain, E26 avian leukemia oncogene 1, 5' domain, Etsoncb, ETS proto-oncogene 1, transcription factor, EWSR2, p42 ETS1, p54, TPL1, v-Ets, vs	ETS proto-oncogene 1, transcription factor	Ets1	64.5733891973032	0.42092575058046	Nucleus	transcription regulator		2113	23871	24356	
Expansion of lymphocytes						Other	function					
Expansion of T lymphocytes						Other	function					
Formation of thymocytes						Other	function					
GFI1	AW495828, GFI1A, growth factor independent 1 transcriptional repressor, growth factor independent 1 transcription repressor, Pal-1, SCN2, ZNF163	growth factor independent 1 transcriptional repressor				Nucleus	transcription regulator		2672	14581	24388	
Homeostasis of leukocytes						Other	function					
iCOS-iCOSL Signaling in T Helper Cells						Other	canonical pathway					
