"GENE_NAME"	"GENE_TYPE"	"beta"	"StdErr"	"Tvalue"	"Chisq"	"Pvalue"	"CalledSignificant"	"Chromosome.scaffold.name"	"gene"	"Chromosome.scaffold.name.1"	"Gene.start..bp."	"Gene.end..bp."
"1"	"A1BG"	"protein_coding"	-0.0770736439544428	0.0191978539487476	-4.01470102649004	14.659422206008	0.000128789221113827	0	"19"	"A1bg"	"15"	60896859	60923012
"2"	"A2M"	"protein_coding"	0.304455103444566	0.0588755321827881	5.17116520491634	23.0320059091098	1.59326736878855e-06	1	"12"	"A2m"	"6"	121635376	121679227
"3"	"AAAS"	"protein_coding"	-0.0144348052862813	0.0210823699509723	-0.684686082250234	0.46738748576162	0.49419150875145	0	"12"	"Aaas"	"15"	102338252	102350771
"4"	"AACS"	"protein_coding"	-0.0236813125168143	0.0117428630012642	-2.01665577757866	3.96567842580225	0.0464368060815065	0	"12"	"Aacs"	"5"	125475814	125517410
"5"	"AAGAB"	"protein_coding"	0.0741786612194378	0.0185961764371852	3.98892005945422	14.3424219093012	0.000152391850108222	0	"15"	"Aagab"	"9"	63602660	63644588
"6"	"AAK1"	"protein_coding"	-0.0795088750612757	0.0149776651408807	-5.30849597139547	24.0999785519146	9.14613154925272e-07	1	"2"	"Aak1"	"6"	86849517	87003223
"7"	"AAMDC"	"protein_coding"	-0.0639948166705712	0.0147974129579762	-4.32473006276927	16.786503155406	4.1829763888065e-05	0	"11"	"Aamdc"	"7"	97550331	97579497
"8"	"AAMP"	"protein_coding"	0.0193922985085534	0.0192698775378521	1.00635297087181	1.00468774731905	0.316178862683509	0	"2"	"Aamp"	"1"	74279840	74284738
"9"	"AAR2"	"protein_coding"	0.0267555940781557	0.0153793311134784	1.73971116693801	2.96975864711941	0.0848345102771816	0	"20"	"Aar2"	"2"	156547584	156568972
"10"	"AARD"	"protein_coding"	0.00756669014093102	0.0311367676412648	0.243014632350697	0.0590244745159509	0.808044494755872	0	"8"	"Aard"	"15"	52040107	52045722
"11"	"AARS2"	"protein_coding"	-0.00729641118350916	0.015510949328957	-0.470403908153298	0.220969635418538	0.638302095986539	0	"6"	"Aars2"	"17"	45506841	45520843
"12"	"AARSD1"	"protein_coding"	-0.0305997866854271	0.0126822632244021	-2.4128017329391	5.60386816437186	0.0179208678256683	0	"17"	"Gm27029"	"11"	101406664	101424796
"13"	"AARSD1"	"protein_coding"	-0.0305997866854271	0.0126822632244021	-2.4128017329391	5.60386816437186	0.0179208678256683	0	"17"	"Aarsd1"	"11"	101406839	101417615
"14"	"AASDH"	"protein_coding"	-0.069938668906331	0.039647863710189	-1.76399589691784	3.05030859326385	0.0807218036938376	0	"4"	"Aasdh"	"5"	76873659	76905514
"15"	"AASDHPPT"	"protein_coding"	-0.00465753952472459	0.0211911052753607	-0.219787475179032	0.0482827260542109	0.826078863575262	0	"11"	"Aasdhppt"	"9"	4294793	4309471
"16"	"AASS"	"protein_coding"	-0.0702966474872757	0.0379913955152531	-1.85033075342158	3.34789576079655	0.0672909812965697	0	"7"	"Aass"	"6"	23072173	23132986
"17"	"AATF"	"protein_coding"	0.0248795661639277	0.0153831144508517	1.61732958845341	2.55594911406476	0.109879809107196	0	"17"	"Aatf"	"11"	84422855	84513522
"18"	"ABAT"	"protein_coding"	-0.00412746477896855	0.0158544576481382	-0.260334656067737	0.0677450780376141	0.794648688329497	0	"16"	"Abat"	"16"	8513429	8621568
"19"	"ABCA1"	"protein_coding"	-0.118127453700586	0.0306444652900088	-3.85477287930033	13.4691672281849	0.000242515925525425	0	"9"	"Abca1"	"4"	53030787	53159895
"20"	"ABCA2"	"protein_coding"	0.313046618237284	0.0438570860184092	7.13788002481245	38.8047691556208	4.68382100465318e-10	1	"9"	"Abca2"	"2"	25428703	25448540
"21"	"ABCA4"	"protein_coding"	0.0417022754507537	0.046561776802895	0.895633249291311	0.798113752155558	0.371657925632424	0	"1"	"Abca4"	"3"	122044443	122180123
"22"	"ABCA5"	"protein_coding"	0.0168278221199792	0.0110467944103143	1.52332174338894	2.28708137427295	0.130455031880481	0	"17"	"Abca5"	"11"	110269369	110337716
"23"	"ABCA6"	"protein_coding"	-0.0515545525779927	0.0221896510686926	-2.32336021951833	5.19570625131588	0.0226427525907168	0	"17"	"Abca6"	"11"	110176820	110251776
"24"	"ABCA7"	"protein_coding"	-0.0592348427863575	0.0224473090014284	-2.63883937190815	6.64501962430225	0.0099433382893227	0	"19"	"Abca7"	"10"	79996494	80015572
"25"	"ABCA8"	"protein_coding"	-0.040725044835158	0.0312163761447129	-1.30460514206917	1.6839196373802	0.194404438029767	0	"17"	"Abca8b"	"11"	109932190	109995845
"26"	"ABCA9"	"protein_coding"	-0.0163114958533444	0.021483736808645	-0.759248542217326	0.572028948492715	0.449453790909579	0	"17"	"Abca9"	"11"	110100749	110168196
"27"	"ABCB1"	"protein_coding"	0.286900048925268	0.0453083364436145	6.33216912040702	32.428323636133	1.23670751405828e-08	1	"7"	"Abcb1a"	"5"	8660077	8748575
"28"	"ABCB1"	"protein_coding"	0.286900048925268	0.0453083364436145	6.33216912040702	32.428323636133	1.23670751405828e-08	1	"7"	"Abcb1b"	"5"	8798147	8866315
"29"	"ABCB10"	"protein_coding"	-0.0173234689295146	0.0264567978003474	-0.65478328330752	0.426928530277294	0.513499933083858	0	"1"	"Abcb10"	"8"	123952459	123983122
"30"	"ABCB4"	"protein_coding"	0.00425959163213089	0.0365153527014654	0.116652074182484	0.013606534585648	0.907139750625972	0	"7"	"Abcb4"	"5"	8893717	8959231
"31"	"ABCB6"	"protein_coding"	-0.146470258153248	0.028353673722571	-5.16582999389774	22.9118406736521	1.69603866800853e-06	1	"2"	"Abcb6"	"1"	75171717	75180392
"32"	"ABCB7"	"protein_coding"	0.00278496109780275	0.0213915152310736	0.130189987372062	0.0169476148234082	0.896421640095102	0	"X"	"Abcb7"	"X"	104280657	104413856
"33"	"ABCB8"	"protein_coding"	0.0177732344350451	0.0229869534670788	0.773187906805459	0.593103293738892	0.441221597068403	0	"7"	"Abcb8"	"5"	24393663	24410054
"34"	"ABCB9"	"protein_coding"	-0.0150571627006273	0.0160213388622276	-0.939819251693537	0.87634677383905	0.349204224686262	0	"12"	"Abcb9"	"5"	124061530	124095798
"35"	"ABCC1"	"protein_coding"	-0.123104847877817	0.0286352664201524	-4.29906417043779	16.6073332570348	4.59729210197275e-05	0	"16"	"Abcc1"	"16"	14361558	14475737
"36"	"ABCC10"	"protein_coding"	0.0514275499728977	0.0189535419274751	2.7133477304497	7.03912712176282	0.00797478884816203	0	"6"	"Abcc10"	"17"	46303221	46328352
"37"	"ABCC2"	"protein_coding"	-0.0253039951431112	0.0470826487627269	-0.537437799445624	0.28830288863557	0.591310137204788	0	"10"	"Abcc2"	"19"	43782192	43840740
"38"	"ABCC3"	"protein_coding"	-0.0312976763331578	0.0215043787705111	-1.45540946181976	2.09031659009685	0.148235348540403	0	"17"	"Abcc3"	"11"	94343295	94392997
"39"	"ABCC4"	"protein_coding"	-0.0724543242218374	0.0405442046953345	-1.78704514655765	3.11498746193683	0.077575075908909	0	"13"	"Abcc4"	"14"	118482692	118706219
